clave_entidad,clave_actividad_economica,anio_censal,UE,A111A,H001A
1,1125,2014,9,1.17,22
1,2221,2014,12,1245.802,1354
1,2361,2014,71,1360.306,2533
1,2362,2014,89,1362.166,3283
1,2371,2014,19,161.604,345
1,2372,2014,35,342.175,987
1,2373,2014,18,1471.405,1591
1,2379,2014,3,59.873,243
1,2381,2014,16,139.742,321
1,2382,2014,55,171.334,755
1,2383,2014,24,52.997,208
1,2389,2014,6,49.86,177
1,3111,2014,14,2878.403,944
1,3112,2014,5,334.77,111
1,3113,2014,31,31.814,130
1,3114,2014,24,3141.8,1840
1,3115,2014,241,6361.751,2351
1,3116,2014,25,2656.119,1681
1,3118,2014,974,893.924,3944
1,3119,2014,67,112.681,394
1,3121,2014,177,2168.432,2521
1,3131,2014,9,524.071,1183
1,3141,2014,84,762.487,1739
1,3149,2014,67,352.159,1016
1,3151,2014,22,45.683,263
1,3152,2014,348,2110.144,9687
1,3159,2014,16,2.033,27
1,3169,2014,28,99.302,342
1,3219,2014,285,146.482,845
1,3231,2014,275,239.15,1219
1,3254,2014,7,1327.368,641
1,3255,2014,4,8.571,41
1,3256,2014,23,71.043,151
1,3261,2014,54,532.943,1241
1,3262,2014,7,375.694,844
1,3271,2014,43,719.389,1226
1,3272,2014,14,87.529,131
1,3273,2014,34,1899.516,776
1,3274,2014,17,91.002,73
1,3279,2014,27,19.993,90
1,3322,2014,18,206.437,266
1,3323,2014,726,404.859,2037
1,3324,2014,6,55.303,84
1,3326,2014,15,483.706,1059
1,3327,2014,169,425.523,1410
1,3328,2014,11,52.918,124
1,3329,2014,20,937.801,1104
1,3331,2014,10,528.666,587
1,3332,2014,5,4.165,19
1,3333,2014,14,30.571,74
1,3334,2014,3,10.957,22
1,3339,2014,17,499.811,520
1,3344,2014,5,4323.52,10585
1,3351,2014,4,1.127,11
1,3359,2014,6,98.533,227
1,3362,2014,10,166.282,304
1,3363,2014,36,41576.164,16309
1,3371,2014,366,277.634,1419
1,3372,2014,35,1167.578,2595
1,3379,2014,5,3.99,17
1,3391,2014,39,98.719,509
1,3399,2014,130,124.495,482
1,4311,2014,337,2856.474,6413
1,4312,2014,34,339.808,863
1,4321,2014,76,182.359,431
1,4331,2014,32,217.92,318
1,4332,2014,17,5.414,47
1,4333,2014,14,86.613,132
1,4334,2014,29,64.101,297
1,4335,2014,11,11.667,46
1,4341,2014,151,259.893,637
1,4342,2014,548,1720.792,3755
1,4343,2014,170,345.343,919
1,4351,2014,43,94.466,351
1,4352,2014,65,310.924,467
1,4353,2014,105,171.943,894
1,4354,2014,129,471.167,883
1,4361,2014,21,500.01,322
1,4611,2014,7990,1585.134,17047
1,4612,2014,686,189.834,1497
1,4621,2014,389,1909.948,4953
1,4622,2014,19,837.84,2184
1,4631,2014,301,124.689,1284
1,4632,2014,2282,439.316,4464
1,4633,2014,443,140.213,1160
1,4641,2014,750,613.621,3184
1,4651,2014,330,99.15,735
1,4652,2014,314,114.83,763
1,4653,2014,1421,156.245,2666
1,4659,2014,791,85.877,1476
1,4661,2014,408,255.591,1472
1,4662,2014,386,167.278,1288
1,4663,2014,316,65.151,794
1,4664,2014,361,15.272,533
1,4671,2014,1253,746.821,4078
1,4681,2014,176,716.949,1925
1,4682,2014,544,557.505,3104
1,4683,2014,29,11.21,129
1,4684,2014,271,1056.509,3416
1,4691,2014,13,17.238,74
1,4841,2014,34,1384.935,1700
1,4842,2014,49,2471.094,2257
1,4851,2014,15,235.533,773
1,4852,2014,8,176.348,557
1,4855,2014,11,52.667,121
1,4871,2014,3,36.294,71
1,4881,2014,4,51.958,109
1,4884,2014,20,28.383,146
1,4885,2014,32,85.209,372
1,4931,2014,5,56.874,123
1,5121,2014,11,270.045,335
1,5171,2014,8,371.189,869
1,5179,2014,20,28.389,241
1,5182,2014,6,4.144,44
1,5191,2014,3,0.07,10
1,5223,2014,51,813.378,412
1,5224,2014,115,114.568,558
1,5231,2014,27,28.444,85
1,5242,2014,76,46.32,357
1,5311,2014,470,137.463,1090
1,5312,2014,151,258.554,630
1,5313,2014,84,132.891,607
1,5411,2014,461,201.012,1771
1,5412,2014,263,220.484,1587
1,5413,2014,94,221.255,1120
1,5414,2014,47,30.879,228
1,5415,2014,45,48.944,412
1,5416,2014,73,285.828,2180
1,5417,2014,5,11.414,48
1,5418,2014,101,221.605,689
1,5419,2014,225,88.479,690
1,5611,2014,46,173.93,1056
1,5612,2014,7,539.583,100
1,5613,2014,53,584.524,3376
1,5614,2014,874,273.088,3325
1,5615,2014,185,87.729,518
1,5616,2014,52,547.598,2429
1,5617,2014,44,71.523,918
1,5619,2014,17,89.266,189
1,5621,2014,8,68.698,55
1,6111,2014,239,916.731,5870
1,6113,2014,32,821.53,3374
1,6114,2014,5,7.222,73
1,6115,2014,38,21.589,199
1,6116,2014,218,93.285,1129
1,6211,2014,912,213.257,1709
1,6212,2014,685,117.767,1106
1,6213,2014,271,125.668,907
1,6214,2014,12,19.527,77
1,6215,2014,138,119.683,599
1,6221,2014,17,302.427,766
1,6223,2014,5,157.699,459
1,6232,2014,5,0.2,13
1,6233,2014,12,8.108,127
1,6239,2014,13,2.816,99
1,6241,2014,216,3.989,874
1,6242,2014,10,1.207,95
1,6243,2014,4,0.457,17
1,6244,2014,145,264.066,1475
1,7111,2014,18,6.112,145
1,7113,2014,9,19.595,84
1,7121,2014,3,0.495,17
1,7131,2014,178,33.56,337
1,7132,2014,40,92.214,213
1,7139,2014,298,180.054,1314
1,7211,2014,127,581.445,2189
1,7212,2014,3,4.167,37
1,7213,2014,16,4.002,46
1,7223,2014,31,149.85,1035
1,7224,2014,258,193.065,1385
1,7225,2014,5921,2412.147,18238
1,8111,2014,2377,845.281,6304
1,8112,2014,287,61.65,538
1,8113,2014,224,542.464,1063
1,8114,2014,1222,129.475,1884
1,8121,2014,2134,191.774,2960
1,8122,2014,333,74.939,787
1,8123,2014,50,58.871,290
1,8124,2014,241,65.885,507
1,8129,2014,46,7.148,94
1,8131,2014,95,37.386,403
1,8132,2014,83,35.509,483
2,1125,2014,28,928.752,725
2,1141,2014,226,1335.696,5559
2,2361,2014,79,3198.839,3880
2,2362,2014,144,2945.854,5683
2,2371,2014,27,470.23,1001
2,2372,2014,42,1055.571,1623
2,2373,2014,35,1762.621,1982
2,2379,2014,4,164.78,574
2,2381,2014,30,299.108,471
2,2382,2014,109,241.753,1017
2,2383,2014,43,52.335,238
2,2389,2014,14,374.364,501
2,3111,2014,9,788.883,267
2,3112,2014,11,2646.016,840
2,3113,2014,18,144.056,501
2,3114,2014,16,246.017,1163
2,3115,2014,204,1568.45,2449
2,3116,2014,21,3547.628,1878
2,3117,2014,18,182.147,379
2,3118,2014,1688,6706.657,9050
2,3119,2014,54,1609.414,1584
2,3141,2014,8,92.486,423
2,3149,2014,58,88.363,828
2,3151,2014,5,13.334,151
2,3152,2014,412,1606.447,12515
2,3159,2014,14,26.427,198
2,3162,2014,4,113.925,315
2,3169,2014,23,107.757,615
2,3221,2014,7,4332.972,1932
2,3222,2014,134,6182.864,7308
2,3231,2014,531,1956.735,8812
2,3251,2014,5,234.438,167
2,3252,2014,3,102.422,231
2,3253,2014,6,148.563,63
2,3254,2014,15,699.846,765
2,3255,2014,10,344.354,422
2,3256,2014,19,199.553,1216
2,3259,2014,23,873.13,4300
2,3261,2014,155,9377.974,21345
2,3262,2014,23,1076.473,2745
2,3271,2014,161,539.375,1598
2,3272,2014,29,2821.681,2368
2,3273,2014,123,2484.324,2014
2,3274,2014,44,28.002,134
